# ----------------------------------------------------------------------------
# Dataset: number of interactions and nodes in plant-frugivore interaction
# networks.
# Pedro Jordano. Sevilla.. 21 December 2023.
#
# id: number ID. of dataset.
# type: sp, species-based network; ind: individual-based network.
# sp: plant species name and family.
# P: number of plant species (for sp-based netwotks) or plant individuals (for 
#    ind-based networks) studied. 
# A: number of animal species.
# S: total number of nodes in the network (A+P).
# I: number of distinct interactions in network.
# C: connectance (C= i/(A+P)).
# biome: t, tropical; nt: non-tropical.
# site: study locality.
# reference: Bibliographic reference.
# node: refers to the total number of species or of individuals (P+A) in 
#       the adjacency matrix.
# 
# Reference for data: Quintero et al. 2025. 
#                     PNAS, doi= 10.1101/2024.02.02.578595.
# ----------------------------------------------------------------------------
id	code	type	sp	P	A	S	I	C	biome	site	reference
40	indw40	ind	Schinus terebinthifolia (Anacardiaceae)	26	16	42	93	0,2236	t	NA	Vissoto, M., Vizentin-Bugoni, J., Sendoya, S. F., Gomes, G. C., & Dias, R. A. (2022). Plant height and spatial context influence individual connectivity and specialization on seed dispersers in a tree population. Oecologia, 198(3): 721-731.
41	indw41	ind	Phillyrea angustifolia (Oleaceae)	10	16	26	72	0,4500	nt	El Puntal	Moracho, E., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Quintero, E., Villalva, P., Rodríguez-Sánchez, F., & Jordano, P. (2023). DONANA-FRUGINT: A dataset of plant-animal interactions. https://doi.org/10.20350/DIGITALCSIC/#####.
42	indw42	ind	Phillyrea angustifolia (Oleaceae)	9	12	21	41	0,3796	nt	Laguna de las Madroñas	Moracho, E., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Quintero, E., Villalva, P., Rodríguez-Sánchez, F., & Jordano, P. (2023). DONANA-FRUGINT: A dataset of plant-animal interactions. https://doi.org/10.20350/DIGITALCSIC/#####.
43	indw43	ind	Marcgravia longifolia (Marcgraviaceae)	24	43	67	127	0,1231	t	NA	Thiel, S., Willems, F., Farwig, N., Rehling, F., Schabo, D. G., Schleuning, M., Shahuano Tello, N., Töpfer, T., Tschapka, M., Heymann, E. W., & Heer, K. (2023). Vertically stratified frugivore community composition and interaction frequency in a liana fruiting across forest strata. Biotropica, 55, 650–664
44	indw44	ind	Osyris lanceolata (Santalaceae)	19	14	33	62	0,2331	nt	NA	Moracho, E., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Quintero, E., Villalva, P., Rodríguez-Sánchez, F., & Jordano, P. (2023). DONANA-FRUGINT: A dataset of plant-animal interactions. https://doi.org/10.20350/DIGITALCSIC/#####.
45	indw45	ind	Naringi crenulata (Rutaceae)	22	12	34	62	0,2348	t	NA	Jayanth, A., Isvaran, K., & Naniwadekar, R. (2024). Drivers of intraspecific variation in seed dispersal can differ across two species of fleshy-fruited savanna plants. Biotropica, 56(3), e13322. https://doi.org/10.1111/btp.13322
46	indw46	ind	Ziziphus oenopolia (Rhamnaceae)	20	13	33	57	0,2192	nt	NA	Jayanth, A., Isvaran, K., & Naniwadekar, R. (2024). Drivers of intraspecific variation in seed dispersal can differ across two species of fleshy-fruited savanna plants. Biotropica, 56(3), e13322. https://doi.org/10.1111/btp.13322
47	sdw00	sp	NA	77	68	145	203	0,0388	nt	NA	"Jordano, P. 2007. A compilation of plant-frugivore interactions for Spanish habitats. https://github.com/PJordano-Lab/datasets_networks_spain
THIS MATRIX IS UNDER WORK!!!- ALL SITES AND SPECIES POOLED INCLUDING LITERATURE REFERENCES
# NOT YET COMPLETE!!"
48	sdw01	sp	NA	25	36	61	253	0,2811	nt	Spain, Cazorla-Nava Correhuelas.	Olesen JM, Bascompte J, Dupont YL, Elberling H, Rasmussen C, Jordano P. (2011). Missing and forbidden links in mutualistic networks. Proceedings of the Royal Society B-Biological Sciences 278: 725-732.
54	sdw02	sp	NA	29	78	107	479	0,2118	nt	RBD-FRUGINT, Spain. 	Moracho, E., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Quintero, E., Villalva, P., Rodríguez-Sánchez, F., & Jordano, P. (2023). DONANA-FRUGINT: A dataset of plant-animal interactions. https://doi.org/10.20350/DIGITALCSIC/#####.
50	sdw02a	sp	NA	16	44	60	201	0,2855	nt	Spain, Hato Ratón	Quintero, E., Isla, J. & Jordano, P. (2022). Methodological overview and data‐merging approaches in the study of plant–frugivore interactions. Oikos, e08379.
51	sdw02b	sp	NA	13	23	36	86	0,2876	nt	Spain, RBD-El Puntal.	Moracho, E., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Quintero, E., Villalva, P., Rodríguez-Sánchez, F., & Jordano, P. (2023). DONANA-FRUGINT: A dataset of plant-animal interactions. https://doi.org/10.20350/DIGITALCSIC/#####.
52	sdw02c	sp	NA	6	9	15	19	0,3519	nt	Spain, RBD-Madroñas.	Moracho, E., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Quintero, E., Villalva, P., Rodríguez-Sánchez, F., & Jordano, P. (2023). DONANA-FRUGINT: A dataset of plant-animal interactions. https://doi.org/10.20350/DIGITALCSIC/#####.
53	sdw02d	sp	NA	6	18	24	27	0,2500	nt	Spain, RBD-Sabinares.	Moracho, E., Arroyo-Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., Quintero, E., Villalva, P., Rodríguez-Sánchez, F., & Jordano, P. (2023). DONANA-FRUGINT: A dataset of plant-animal interactions. https://doi.org/10.20350/DIGITALCSIC/#####.
54	sdw03	sp	NA	17	29	46	147	0,2982	nt	Spain, Cazorla-Nava Noguera.	García-Castaño, J.L. (2001). Consecuencias demográficas de la dispersión de semillas por aves y mamíferos frugívoros en la vegetación mediterránea de montaña. PhD Thesis. Universidad de Sevilla, Spain.
55	sdw04	sp	NA	3	6	9	11	0,6111	nt	Spain, Campos de Otero, Sierra Nevada, Granada, Spain.	Jordano, P. (1993). Geographical ecology and variation of plant-seed disperser interactions: southern Spanish junipers and frugivorous thrushes. In: Frugivory and seed dispersal: ecological and evolutionary aspects (eds. Fleming, T.H. & Estrada, A.). Kluwer Academic Publisher, Dordrecht, The Netherlands, pp. 85–104.
56	sdw05	sp	NA	5	6	11	17	0,5667	nt	"Spain, Sabinar del Marqués, Reserva
Biológica de Doñana, Huelva."	Jordano, P. (1993). Geographical ecology and variation of plant-seed disperser interactions: southern Spanish junipers and frugivorous thrushes. In: Frugivory and seed dispersal: ecological and evolutionary aspects (eds. Fleming, T.H. & Estrada, A.). Kluwer Academic Publisher, Dordrecht, The Netherlands, pp. 85–104.
57	sdw06	sp	NA	5	6	11	18	0,6000	nt	Spain, Santa Bárbara, Baza, Granada, Spain.	Jordano, P. (1993). Geographical ecology and variation of plant-seed disperser interactions: southern Spanish junipers and frugivorous thrushes. In: Frugivory and seed dispersal: ecological and evolutionary aspects (eds. Fleming, T.H. & Estrada, A.). Kluwer Academic Publisher, Dordrecht, The Netherlands, pp. 85–104.
58	sdw07	sp	NA	9	6	15	36	0,6667	nt	"Spain, Cañada del Travino, Sierra de Cazorla, Segura y Las Villas,
                                Jaén, Spain."	Jordano, P. (1993). Geographical ecology and variation of plant-seed disperser interactions: southern Spanish junipers and frugivorous thrushes. In: Frugivory and seed dispersal: ecological and evolutionary aspects (eds. Fleming, T.H. & Estrada, A.). Kluwer Academic Publisher, Dordrecht, The Netherlands, pp. 85–104.
59	sdb19	sp	NA	25	61	86	536	0,3515	t	Ficus	Lambert F. (1989) Fig-eating by birds in a Malaysian lowland rain forest. J. Trop. Ecol., 5, 401-412.
60	sdb20	sp	NA	207	110	317	1329	0,0584	t	Intervales, Brazil	Silva, W. R., P. De Marco Jr, E. Hasui, and V. S. M. Gomes. 2002. Patterns of fruit-frugivore interactions in two atlantic forest bird communities of South-eastern Brazil: implications for conservation, Pages 423-435 in D. J. Levey, W. R. Silva, and  M. Galetti, eds. Seed dispersal and frugivory: ecology, evolution and conservation. Wallingford, UK, CAB International.
61	sdb21	sp	NA	171	40	211	877	0,1282	t	Monteverde, Costa Rica	Wheelwright N.T., Haber W.A., Murray K.G. & Guindon C. (1984) Tropical fruiteating birds and their food plants: a survey of a Costa Rican lower montane forest. Biotropica, 16, 173-192.
62	sdw08	sp	NA	31	9	40	119	0,4265	t	NA	Beehler B. (1983) Frugivory and polygamy in birds of paradise. Auk, 100, 1-11.
