"plant"	"pollinator"	"w"
"370"	"1940"	"Megachile.centuncularis"	1
"371"	"1940"	"Ancistrocerus.nigricornis"	1
"372"	"1940"	"Eristalis.tenax"	0
"373"	"1940"	"Eristalis.pratorum"	0
"374"	"1940"	"Eristalis.arbustorum"	3
"375"	"1940"	"Cheilosia.glossa"	0
"376"	"1940"	"Mallota.fuciformis"	0
"377"	"1940"	"Dasysyrphus.albostriatus"	0
"378"	"1940"	"Syrphus.vitripennis"	0
"379"	"1940"	"Syrphus.ribessi"	0
"380"	"1940"	"Criorhina.berberina"	0
"381"	"1940"	"Calliphora.vomitoria"	166
"382"	"1940"	"Gonia.ornata"	2
"383"	"1940"	"Pollenia.rudis"	0
"384"	"1940"	"Tachina.corsicana"	0
"385"	"1940"	"Asilidae.NI"	0
"386"	"1940"	"Empididae.NI"	1
"387"	"1940"	"Diptera.NI"	0
"388"	"1921"	"Hemaris.tityus"	1
"389"	"1921"	"Iphiclides.podalirius.Ad"	0
"390"	"1921"	"Vanessa.cardui"	0
"391"	"1921"	"Psithyrus.vestalis.obenbergeri"	0
"392"	"1921"	"Bombus.pratorum.m."	0
"393"	"1921"	"Bombus.pratorum.wk."	0
"394"	"1921"	"Bombus.pascuorum.wk."	0
"395"	"1921"	"Bombus.pascuorum.q."	0
"396"	"1921"	"Bombus.terrestris.wk."	1
"397"	"1921"	"Bombus.terrestris.q."	0
"398"	"1921"	"Xylocopa.violacea"	0
"399"	"1921"	"Apis.mellifera"	1
"400"	"1921"	"Osmia.rufa"	0
"401"	"1921"	"Andrena.fulva"	3
"402"	"1921"	"Andrena.synadelpha.nigroaenea"	0
"403"	"1921"	"Andrena.trimmerana"	0
"404"	"1921"	"Andrena.congruens"	0
"405"	"1921"	"Andrena.tibialis.corvina"	0
"406"	"1921"	"Andrena.albopunctata.morio"	0
"407"	"1921"	"Andrena.assimilis"	0
"408"	"1921"	"Halictus.quadricinctus"	0
"409"	"1921"	"Halictus.tridivisus"	0
"410"	"1921"	"Halictus.scabiosae"	0
"411"	"1921"	"Lasioglossum.xanthopum"	0
"412"	"1921"	"Sphecodes.gibbus"	0
"413"	"1921"	"Megachile.centuncularis"	0
"414"	"1921"	"Ancistrocerus.nigricornis"	0
"415"	"1921"	"Eristalis.tenax"	1
"416"	"1921"	"Eristalis.pratorum"	0
"417"	"1921"	"Eristalis.arbustorum"	0
"418"	"1921"	"Cheilosia.glossa"	0
"419"	"1921"	"Mallota.fuciformis"	0
"420"	"1921"	"Dasysyrphus.albostriatus"	0
"421"	"1921"	"Syrphus.vitripennis"	2
"422"	"1921"	"Syrphus.ribessi"	0
"423"	"1921"	"Criorhina.berberina"	0
"424"	"1921"	"Calliphora.vomitoria"	29
"425"	"1921"	"Gonia.ornata"	22
"426"	"1921"	"Pollenia.rudis"	2
"427"	"1921"	"Tachina.corsicana"	0
"428"	"1921"	"Asilidae.NI"	0
"429"	"1921"	"Empididae.NI"	11
"430"	"1921"	"Diptera.NI"	0
"431"	"1823"	"Hemaris.tityus"	0
"432"	"1823"	"Iphiclides.podalirius.Ad"	0
"433"	"1823"	"Vanessa.cardui"	0
"434"	"1823"	"Psithyrus.vestalis.obenbergeri"	0
"435"	"1823"	"Bombus.pratorum.m."	0
"436"	"1823"	"Bombus.pratorum.wk."	0
"437"	"1823"	"Bombus.pascuorum.wk."	0
"438"	"1823"	"Bombus.pascuorum.q."	0
"439"	"1823"	"Bombus.terrestris.wk."	5
"440"	"1823"	"Bombus.terrestris.q."	0
"441"	"1823"	"Xylocopa.violacea"	0
"442"	"1823"	"Apis.mellifera"	2
"443"	"1823"	"Osmia.rufa"	0
"444"	"1823"	"Andrena.fulva"	1
"445"	"1823"	"Andrena.synadelpha.nigroaenea"	0
"446"	"1823"	"Andrena.trimmerana"	0
"447"	"1823"	"Andrena.congruens"	0
"448"	"1823"	"Andrena.tibialis.corvina"	0
"449"	"1823"	"Andrena.albopunctata.morio"	0
"450"	"1823"	"Andrena.assimilis"	0
"451"	"1823"	"Halictus.quadricinctus"	0
"452"	"1823"	"Halictus.tridivisus"	0
"453"	"1823"	"Halictus.scabiosae"	0
"454"	"1823"	"Lasioglossum.xanthopum"	0
"455"	"1823"	"Sphecodes.gibbus"	0
"456"	"1823"	"Megachile.centuncularis"	0
"457"	"1823"	"Ancistrocerus.nigricornis"	0
"458"	"1823"	"Eristalis.tenax"	14
"459"	"1823"	"Eristalis.pratorum"	0
"460"	"1823"	"Eristalis.arbustorum"	0
"461"	"1823"	"Cheilosia.glossa"	1
"462"	"1823"	"Mallota.fuciformis"	0
"463"	"1823"	"Dasysyrphus.albostriatus"	0
"464"	"1823"	"Syrphus.vitripennis"	3
"465"	"1823"	"Syrphus.ribessi"	0
"466"	"1823"	"Criorhina.berberina"	1
"467"	"1823"	"Calliphora.vomitoria"	15
"468"	"1823"	"Gonia.ornata"	11
"469"	"1823"	"Pollenia.rudis"	2
"470"	"1823"	"Tachina.corsicana"	0
"471"	"1823"	"Asilidae.NI"	7
"472"	"1823"	"Empididae.NI"	9
"473"	"1823"	"Diptera.NI"	0
"474"	"1824"	"Hemaris.tityus"	0
"475"	"1824"	"Iphiclides.podalirius.Ad"	0
"476"	"1824"	"Vanessa.cardui"	0
"477"	"1824"	"Psithyrus.vestalis.obenbergeri"	0
"478"	"1824"	"Bombus.pratorum.m."	0
"479"	"1824"	"Bombus.pratorum.wk."	0
"480"	"1824"	"Bombus.pascuorum.wk."	0
"481"	"1824"	"Bombus.pascuorum.q."	0
"482"	"1824"	"Bombus.terrestris.wk."	1
"483"	"1824"	"Bombus.terrestris.q."	0
"484"	"1824"	"Xylocopa.violacea"	0
"485"	"1824"	"Apis.mellifera"	1
"486"	"1824"	"Osmia.rufa"	0
"487"	"1824"	"Andrena.fulva"	56
"488"	"1824"	"Andrena.synadelpha.nigroaenea"	0
"489"	"1824"	"Andrena.trimmerana"	0
"490"	"1824"	"Andrena.congruens"	0
"491"	"1824"	"Andrena.tibialis.corvina"	0
"492"	"1824"	"Andrena.albopunctata.morio"	1
"493"	"1824"	"Andrena.assimilis"	0
