# A multilayer network using explicit format.
# Figure 3
*Vertices 94. Trees: 19; Animals: 75.
# node_id name
2 61 2 3 3.5
2 62 2 3 2
2 63 2 3 0.5
2 64 2 3 4
2 65 2 3 0.5
2 66 2 3 0.5
2 67 2 3 49
2 68 2 3 10.5
2 69 2 3 5
2 70 2 3 2
2 71 2 3 7.5
2 72 2 3 20.5
2 73 2 3 1.5
2 31 2 4 0
2 32 2 4 0
2 33 2 4 0
2 34 2 4 0
2 35 2 4 0
2 36 2 4 0
2 37 2 4 0
2 38 2 4 0
2 39 2 4 1
2 40 2 4 0
2 41 2 4 0
2 42 2 4 0
2 43 2 4 0
2 44 2 4 14
2 45 2 4 0
2 46 2 4 0
2 47 2 4 0
2 48 2 4 0
2 49 2 4 0.5
2 50 2 4 0
2 51 2 4 0.5
2 52 2 4 0
2 53 2 4 1
2 54 2 4 0
2 55 2 4 0
2 56 2 4 0
2 57 2 4 0
2 58 2 4 0.5
2 59 2 4 0
2 60 2 4 0
2 61 2 4 0
2 62 2 4 0
2 63 2 4 0
2 64 2 4 0
2 65 2 4 0
2 66 2 4 0
2 67 2 4 5
2 68 2 4 0
2 69 2 4 0
2 70 2 4 0
2 71 2 4 0
2 72 2 4 0.5
2 73 2 4 0
2 31 2 5 0
2 32 2 5 0.5
2 33 2 5 0
2 34 2 5 0
2 35 2 5 0
2 36 2 5 0
2 37 2 5 0
2 38 2 5 0
2 39 2 5 0.5
2 40 2 5 0
2 41 2 5 0
2 42 2 5 0
2 43 2 5 0
2 44 2 5 1
2 45 2 5 1
2 46 2 5 0
2 47 2 5 0
2 48 2 5 0
2 49 2 5 0
2 50 2 5 0
2 51 2 5 0
2 52 2 5 0
2 53 2 5 0
2 54 2 5 0
2 55 2 5 0
2 56 2 5 0
2 57 2 5 0
2 58 2 5 3
2 59 2 5 0.5
2 60 2 5 0
2 61 2 5 1
2 62 2 5 0.5
2 63 2 5 1
2 64 2 5 1
2 65 2 5 0
2 66 2 5 0
2 67 2 5 16
2 68 2 5 4
